7:302,58,616,29,8,518,650,138,76,301
42:17,518,58,302,654,84,76,542,564,15
45:347,76,4858,23970,53818,564,26793,79096,17,19829
46:302,616,58,8,1102,354,76,736,650,542
94:17,616,654,564,302,32,58,364,1405,65
156:302,58,616,8,84,29,1102,354,542,650
174:8,518,3233,245,296,11194,654,431,873,117
177:17,654,58,616,29,84,542,8,518,76
202:302,58,8,518,542,354,15,1102,138,301
229:58,84,518,1102,15,736,101,61,6,861
273:17,302,654,76,650,101,736,15,138,354
292:654,616,58,76,542,138,289,564,301,61
401:616,58,1102,29,354,650,542,301,138,15
452:13523,17,616,302,5869,861,58,1410,76,8
476:17,245,70,899,1023,1382,302,654,508,616
488:17,302,616,58,518,542,15,76,564,508
500:17,302,616,654,58,76,8,650,84,29
514:17,616,302,76,58,654,650,8,564,542
535:17,29,1102,8,518,650,542,76,354,6
539:17,654,58,8,29,84,518,564,542,15
585:17,654,302,616,58,84,29,8,70,76
601:118676,48912,226,67228,18245,31717,90819,121660,90054,69110
618:17,616,302,654,226,58,76,542,650,8
634:17,226,70,508,76,780,616,58,262,8
646:17,76,302,546,654,70,1995,564,58,1913
669:518,500,736,17,2318,481,2450,2337,29969,224
678:17,302,654,58,8,84,518,542,564,76
683:669,71448,97127,112536,45128,27552,866,226,69187,7620
684:168,29161,5738,10493,984,11984,2318,5480,11470,719
715:4671,12861,1547,2543,59850,1753,9435,81,14375,36991
716:17,616,302,654,58,861,542,650,84,1196
754:17,302,616,654,58,76,542,84,29,61
763:17,84,29,650,8,542,518,564,138,354
782:302,654,616,84,8,58,518,542,354,301
784:17,302,542,518,84,76,650,29,101,508
838:8066,1902,131,219,7210,15131,6344,288,50887,1002
844:58,29,8,354,76,518,736,301,542,289
857:302,84,8,650,76,518,542,1102,15,354
874:302,58,518,84,76,29,301,787,364,508
1094:616,58,29,736,301,70,6,61,787,508
1141:17,787,327,302,1382,4671,84,8,14259,9594
1148:17,76,302,508,70,654,1023,58,616,8
1153:17,654,616,58,1102,518,29,76,542,650
1208:17,302,654,58,616,650,29,542,15,8
1209:17,76,302,564,8,616,70,654,58,1023
1236:17,302,616,654,58,76,8,84,542,32
1267:302,654,58,616,84,8,13293,518,76,101
1296:17,654,58,29,650,84,76,8,542,518
1342:17,84,518,302,616,654,58,1102,101,650
1405:4697,96890,24722,92558,17,302,654,76,616,58
1407:17,302,542,616,58,518,486,654,84,15
1408:17,302,616,518,654,84,58,564,650,1102
1412:17,302,654,58,84,616,70,354,29,76
1418:654,76,650,542,138,736,15,289,564,61
1431:654,58,616,84,8,518,76,542,1102,650
1437:17,302,616,76,58,654,650,542,70,564
1448:17,245,2548,542,8,81,654,76,15,61
1457:17,302,616,58,654,542,650,70,15,518
1458:17,616,302,58,15,84,76,650,101,736
1634:2265,9662,76,8337,6901,2717,9095,2328,1913,17
1642:302,654,58,8,518,542,1102,76,650,354
1668:616,29,84,650,8,15,76,518,354,289
1721:302,15,17,245,654,61,58,616,4268,542
1727:17,654,616,58,302,650,84,542,564,29
1746:17,616,302,654,58,542,8,650,518,861
1758:17,616,302,654,58,542,8,76,650,518
1779:86913,8635,103533,37843,67185,1674,93631,56748,93097,17395
1780:13960,9354,88524,1772,67574,64,3041,48208,140,72271
1783:17,302,58,8,29,76,84,542,650,518
1796:654,84,8,29,650,542,15,1102,301,138
1841:984,8860,463,801,2103,3211,8733,5738,1124,2642
1854:17,654,302,542,8,84,650,564,76,101
1891:17,302,654,58,616,29,84,8,15,650
1894:654,616,58,84,8,29,564,70,542,518
2017:44039,23213,58208,13894,101380,123006,107733,47586,11246,17
2025:236,17,10075,776,6766,8861,6673,238,616,302
2030:17,302,616,58,654,15,542,650,76,8
2070:84,13580,245,542,2076,15,654,1102,4919,616
2071:302,616,58,518,76,70,650,101,354,301
2123:17,654,616,58,8,1102,29,899,518,76
2177:17,224,459,162,29,302,262,3137,4009,616
2184:58,616,84,1102,6,8,354,650,542,76
2250:49715,7838,4103,22792,71709,2194,6191,353,47112,1064
2253:226,17,986,70,76,508,302,616,262,58
2260:17,302,654,76,616,58,8,866,84,29
2261:302,654,616,58,76,1102,354,542,15,29
2335:17,302,654,616,8,84,518,29,15,542
2362:17,302,654,76,616,58,8,866,84,29
2363:17,302,616,29,84,650,542,76,8,15
2373:17,84,616,302,654,58,1102,76,101,138
2384:17,1119,84,302,4420,354,947,70,245,654
2394:302,654,616,84,58,542,76,564,1102,15
2407:866,17,302,654,76,354,84,29,58,616
2408:302,654,84,58,616,29,8,354,1102,76
2456:17,58,616,29,84,76,650,8,1102,354
2469:302,616,58,84,29,542,8,518,354,61
2510:30139,30152,40898,1460,17,5567,1326,76,327,3650
2515:17,302,616,58,654,650,564,8,84,518
2518:5097,3568,17,76,890,40,361,698,4880,866
2521:302,654,84,616,58,8,518,354,29,1102
2547:17,302,654,616,58,650,76,29,8,62
2553:9134,44578,36848,8960,19507,37961,31397,31025,31598,16881
2558:17,76,661,5557,10267,1528,2153,616,2642,7180
2636:654,58,616,84,29,8,354,650,1102,76
2689:17,654,302,616,58,542,8,15,76,650
2715:984,1400,661,9874,801,2153,760,8733,10267,2103
2730:17,616,654,58,8,542,518,84,15,76
2805:3014,873,616,931,1099,496,542,81,2121,7048
2812:302,654,8,29,354,650,76,736,542,289
2853:18850,5738,68624,83814,27420,3081,34823,698,86461,38736
2854:302,84,654,1119,354,70,616,8,736,518
